"type"	"size"	"diam"
"N"	"#80"	0.0135
"M"	"0.35"	0.0138
"N"	"#79"	0.0145
"F"	"1/64"	0.0156
"M"	"0.4"	0.0157
"N"	"#78"	0.016
"M"	"0.45"	0.0177
"N"	"#77"	0.018
"M"	"0.5"	0.0197
"N"	"#76"	0.02
"N"	"#75"	0.021
"M"	"0.55"	0.0217
"N"	"#74"	0.0225
"M"	"0.6"	0.0236
"N"	"#73"	0.024
"N"	"#72"	0.025
"M"	"0.65"	0.0256
"N"	"#71"	0.026
"M"	"0.7"	0.0276
"N"	"#70"	0.028
"N"	"#69"	0.0292
"M"	"0.75"	0.0295
"N"	"#68"	0.031
"F"	"1/32"	0.0313
"M"	"0.8"	0.0315
"N"	"#67"	0.032
"N"	"#66"	0.033
"M"	"0.85"	0.0335
"N"	"#65"	0.035
"M"	"0.9"	0.0355
"N"	"#64"	0.036
"N"	"#63"	0.037
"M"	"0.95"	0.0374
"N"	"#62"	0.038
"N"	"#61"	0.039
"M"	"1"	0.0394
"N"	"#60"	0.04
"N"	"#59"	0.041
"M"	"1.05"	0.0413
"N"	"#58"	0.042
"N"	"#57"	0.043
"M"	"1.1"	0.0433
"M"	"1.15"	0.0453
"N"	"#56"	0.0465
"F"	"3/64"	0.0469
"M"	"1.2"	0.0472
"M"	"1.25"	0.0492
"M"	"1.3"	0.0512
"N"	"#55"	0.052
"M"	"1.35"	0.0531
"N"	"#54"	0.055
"M"	"1.4"	0.0551
"M"	"1.5"	0.0591
"N"	"#53"	0.0595
"M"	"1.55"	0.061
"F"	"1/16"	0.0625
"M"	"1.6"	0.0629
"N"	"#52"	0.0635
"M"	"1.65"	0.065
"M"	"1.7"	0.0669
"N"	"#51"	0.067
"M"	"1.75"	0.0689
"N"	"#50"	0.07
"M"	"1.8"	0.0709
"M"	"1.85"	0.0728
"N"	"#49"	0.073
"M"	"1.9"	0.0748
"N"	"#48"	0.076
"M"	"1.95"	0.0768
"F"	"5/64"	0.0781
"N"	"#47"	0.0785
"M"	"2"	0.0787
"M"	"2.05"	0.0807
"N"	"#46"	0.081
"N"	"#45"	0.082
"M"	"2.1"	0.0827
"M"	"2.15"	0.0846
"N"	"#44"	0.086
"M"	"2.2"	0.0866
"M"	"2.25"	0.0886
"N"	"#43"	0.089
"M"	"2.3"	0.0905
"M"	"2.35"	0.0925
"N"	"#42"	0.0935
"F"	"3/32"	0.0937
"M"	"2.4"	0.0945
"N"	"#41"	0.096
"M"	"2.45"	0.0965
"N"	"#40"	0.098
"M"	"2.5"	0.0984
"N"	"#39"	0.0995
"M"	"2.55"	0.1004
"N"	"#38"	0.1015
"M"	"2.6"	0.1024
"N"	"#37"	0.104
"M"	"2.65"	0.1043
"M"	"2.7"	0.1063
"N"	"#36"	0.1065
"M"	"2.75"	0.1083
"F"	"7/64"	0.1093
"N"	"#35"	0.11
"M"	"2.8"	0.1102
"N"	"#34"	0.111
"N"	"#33"	0.113
"M"	"2.9"	0.1142
"N"	"#32"	0.116
"M"	"3"	0.1181
"N"	"#31"	0.12
"M"	"3.1"	0.122
"F"	"1/8"	0.125
"M"	"3.2"	0.126
"M"	"3.25"	0.128
"N"	"#30"	0.1285
"M"	"3.3"	0.1299
"M"	"3.4"	0.1339
"N"	"#29"	0.136
"M"	"3.5"	0.1378
"N"	"#28"	0.1405
"F"	"9/64"	0.1406
"M"	"3.6"	0.1417
"N"	"#27"	0.144
"M"	"3.7"	0.1457
"N"	"#26"	0.147
"M"	"3.75"	0.1477
"N"	"#25"	0.1495
"M"	"3.8"	0.1496
"N"	"#24"	0.152
"M"	"3.9"	0.1535
"N"	"#23"	0.154
"F"	"5/32"	0.1562
"N"	"#22"	0.157
"M"	"4"	0.1575
"N"	"#21"	0.159
"N"	"#20"	0.161
"M"	"4.1"	0.1614
"M"	"4.2"	0.1654
"N"	"#19"	0.166
"M"	"4.25"	0.1674
"M"	"4.3"	0.1693
"N"	"#18"	0.1695
"F"	"11/64"	0.1719
"N"	"#17"	0.173
"M"	"4.4"	0.1732
"N"	"#16"	0.177
"M"	"4.5"	0.1771
"N"	"#15"	0.18
"M"	"4.6"	0.1811
"N"	"#14"	0.182
"N"	"#13"	0.185
"M"	"4.7"	0.185
"M"	"4.75"	0.187
"F"	"3/16"	0.1875
"N"	"#12"	0.189
"M"	"4.8"	0.189
"N"	"#11"	0.191
"M"	"4.9"	0.1929
"N"	"#10"	0.1935
"N"	"#9"	0.196
"M"	"5"	0.1968
"N"	"#8"	0.199
"M"	"5.1"	0.2008
"N"	"#7"	0.201
"F"	"13/64"	0.2031
"N"	"#6"	0.204
"M"	"5.2"	0.2047
"N"	"#"	0.2055
"M"	"5.25"	0.2067
"M"	"5.3"	0.2087
"N"	"#4"	0.209
"M"	"5.4"	0.2126
"N"	"#3"	0.213
"M"	"5.5"	0.2165
"F"	"7/32"	0.2187
"M"	"5.6"	0.2205
"N"	"#2"	0.221
"M"	"5.7"	0.2244
"M"	"5.75"	0.2264
"N"	"#1"	0.228
"M"	"5.8"	0.2283
"M"	"5.9"	0.2323
"L"	"A"	0.234
"F"	"15/64"	0.2344
"M"	"6"	0.2362
"L"	"B"	0.238
"M"	"6.1"	0.2401
"L"	"C"	0.242
"M"	"6.2"	0.2441
"L"	"D"	0.246
"M"	"6.25"	0.2461
"M"	"6.3"	0.248
"F"	"1/4"	0.25
"L"	"E"	0.25
"M"	"6.4"	0.252
"M"	"6.5"	0.2559
"L"	"F"	0.257
"M"	"6.6"	0.2598
"L"	"G"	0.261
"M"	"6.7"	0.2638
"F"	"17/64"	0.2656
"M"	"6.75"	0.2658
"L"	"H"	0.266
"M"	"6.8"	0.2677
"M"	"6.9"	0.2716
"L"	"I"	0.272
"M"	"7"	0.2756
"L"	"J"	0.277
"M"	"7.1"	0.2795
"L"	"K"	0.2811
"F"	"9/32"	0.2812
"M"	"7.2"	0.2835
"M"	"7.25"	0.2855
"M"	"7.3"	0.2874
"L"	"L"	0.29
"M"	"7.4"	0.2913
"L"	"M"	0.295
"M"	"7.5"	0.2953
"F"	"19/64"	0.2968
"M"	"7.6"	0.299
		
"L"	"N"	0.302
"M"	"7.7"	0.3031
"M"	"7.75"	0.3051
"M"	"7.8"	0.3071
"M"	"7.9"	0.311
"F"	"5/16"	0.3125
"M"	"8"	0.316
"L"	"O"	0.316
"M"	"8.1"	0.3189
"M"	"8.2"	0.3228
"L"	"P"	0.323
"M"	"8.25"	0.3248
"M"	"8.3"	0.3267
"F"	"21/64"	0.3281
"M"	"8.4"	0.3307
"L"	"Q"	0.332
"M"	"8.5"	0.3346
"M"	"8.6"	0.3386
"L"	"R"	0.339
"M"	"8.7"	0.3425
"F"	"11/32"	0.3437
"M"	"8.75"	0.3445
"M"	"8.8"	0.3465
"L"	"S"	0.348
"M"	"8.9"	0.3504
"M"	"9"	0.3543
"L"	"T"	0.358
"M"	"9.1"	0.3583
"F"	"23/64"	0.3594
"M"	"9.2"	0.3622
"M"	"9.25"	0.3642
"M"	"9.35"	0.3661
"L"	"U"	0.368
"M"	"9.4"	0.3701
"M"	"9.5"	0.374
"F"	"3/8"	0.375
